latitude,longitude,School,Address,County,Biology,Chemistry,Physics ,Environmental Science ,Engineering 
41.782192,-87.671919,Lindblom Math and Science Academy,"6130 S. Wolcott Avenue  Chicago, IL 60636",Cook,3,3,3,3,2
41.981241,-87.707671,Northside College Preparatory ,"5501 N. Kedzie Ave. Chicago, IL 60625",Cook,1,3,3,3,N/A
40.246956,-88.646133,Blue Ridge High School,"411 N John St Farmer City, IL 61842",DeWitt,1,1,3,1,N/A
40.145912,-88.978575,Clinton High School,"1200 IL-54 Clinton, IL 61727",DeWitt,1,3,3,3,N/A
39.806384,-88.46485,Atwood Hammond High School,"222 W Magnolia St Atwood, IL 61913",Douglas,1,3,3,3,N/A
39.868602,-88.161529,Villa Grove High School,"400 N Sycamore St.  Villa Grove, IL 61956",Douglas,2,3,3,N/A,N/A
41.863794,-87.982177,Willowbrook High School,"1250 S. Ardmore Avenue Villa Park, IL 60181",DuPage,3,3,3,3,N/A
39.11689,-88.558525,Effingham High School,"1301 W Grove Effingham, IL 62401",Effingham,1,1,1,1,N/A
39.1175,-88.554708,Effingham Junior High School,"600 S. Henrietta Effingham, IL 62401",Effingham,1,1,1,1,N/A
38.99181,-88.955815,Brownston Jr/Sr. High School,"421 S College Ave Brownstown, IL 62418",Fayette,2,2,3,N/A,N/A
40.460789,-88.107379,Paxton-buckley-loda High School,"700 W Orleans St Paxton, IL, 60957",Ford,3,3,3,N/A,N/A
37.906938,-88.909528,Benton Consolidated High School,"900 N. Cherry St. West Frankfort, IL. 62896",Franklin,1,1,3,N/A,N/A
40.693622,-89.981426,Farmington Central High School,"310 S Lightfooft Rd. Farmington, IL 61531",Fulton,3,3,3,N/A,0
39.443257,-90.400897,North Greene High School,"546 N Main St White Hall, IL 62092",Greene,3,3,3,N/A,N/A
41.086231,-88.425756,Dwight Township High School,"801 S. Franklin St.  Dwight, IL 60420",Grundy,3,0,3,N/A,N/A
41.315156,-88.603176,Mercer County High School,"307 East Scott Street Seneca, IL  61360",Grundy,3,3,3,N/A,N/A
41.449925,-88.262841,Minooka Community High School,"301 S. Wabena Avenue Minooka, IL 60447",Grundy,3,2,3,3,N/A
41.364557,-88.431445,Morris Community High School,"1000 Union St Morris, IL 60450 ",Grundy,3,3,3,3,N/A
41.315156,-88.603176,Seneca High School,"307 East Scott Street Seneca, IL  61360",Grundy,3,3,3,0,N/A
37.981158,-88.32921,Norris City High School,"Norris City, IL 62869 ",Hamilton ,N/A,3,3,3,N/A
40.421346,-91.132935,Illini West High School,"600 Miller St. Carthage, IL  62321",Handcock,3,0,3,0,N/A
40.769411,-87.985221,Iroquois West High School,"529 E. Second  Gilman, IL 60938",Iroquois,0,3,3,0,N/A
37.725925,-89.187714,Carbondale Community High School,"1301 E Walnut St Carbondale, IL 62901",Jackson ,2,3,3,N/A,2
38.520145,-89.103544,Centralia High School,"2100 E Calumet St  Centralia, IL 62801",Jefferson,3,3,3,3,N/A
42.427397,-90.440316,Galena High School,"1206 N. Franklin Galena, IL 61036",Jo Daviess,1,2,3,3,N/A
42.311985,-90.270677,River Ridge High School,"4141 Illinois 84 Hanover, IL 61041",Jo Daviess,1,N/A,3,3,N/A
41.893584,-88.316868,Geneva Community High School,"416 McKinley Avenue   Geneva, IL 60134",Kane,1,2,3,3,N/A
42.122329,-88.498565,Hampshire High School,"1600 Big Timber Rd.  Hampshire, IL 60140",Kane,2,1,1,1,1
41.791143,-88.239422,Metea Valley High School,"1801 N Eola Rd Aurora, IL 60502",Kane,2,3,3,N/A,3
41.149562,-87.868818,Bradley-Bourbonnais High School,"700 West North Street Bradley, IL 60915",Kankakee,3,3,3,0,N/A
41.117261,-87.84651,Kankakee High School,"40 Warren Avenue Kankakee, IL 60901 ",Kankakee,3,0,3,0,N/A
41.699561,-88.280661,Oswego East High School,"1525 HARVEY ROAD Oswego, IL ",Kendall,3,1,3,N/A,N/A
40.805292,-90.402935,Abington-Avon High School,"401 W. Latimer St. Abingdon, IL 61410",Knox,3,0,3,3,N/A
40.907393,-90.276007,Knoxville High School,"809 E Main St Knoxville, IL 61448",Knox,3,3,3,N/A,N/A
41.350497,-88.83915,Marquette Academy,"1000 Paul Street Ottawa, IL 61350",La Salle,1,3,1,N/A,N/A
41.06165,-88.817564,Woodland High School,"5800 E 3000 North Rd Streator, IL  61364",La Salle,3,3,3,N/A,N/A
42.20077,-87.944398,Adlai E. Stevenson H.S,"1 Stevenson Drive Lincolnshire, IL 60069 ",Lake,3,3,3,3,N/A
28.574148,-81.817132,South Lake High ,"15600 Silver Eagle Rd  Groveland, IL 34736",Lake,3,1,3,1,N/A
40.887893,-88.616481,Pontiac Township High School,"1100 E Indiana Ave Pontiac, IL 61764",Livingston,3,0,3,3,N/A
40.137875,-89.358343,Lincoln Community High School,"1000 Primm Rd Lincoln, IL 62656",Logan,3,3,3,3,N/A
40.037065,-88.968038,Maroa-Forsyth High School,"610 W Washington Street Rd Maroa, IL 61756",Macon,3,3,3,1,N/A
38.520145,-89.103544,Centralia High School,"2100 E Calumet St  Centralia, IL 62801",Marion,3,3,3,3,N/A
41.116902,-89.368246,Henry Senachwine High School,"1023 College Avenue Henry, IL 61537",Marshall,1,1,2,1,N/A
41.027047,-89.277785,Midland High School,"1830 IL-17 Varna, IL 61375",Marshall,1,1,3,3,N/A
40.425874,-89.779276,Midwest Central High School,"Manito, IL 61546 ",Mason,0,0,3,3,N/A
40.552831,-90.750514,West Prairie High School,"18575 E 800th St Sciota, IL 61475",McDonough,0,3,3,0,N/A
41.325831,-89.212696,Hall High School,"800 W. Erie St.  Spring Valley, IL ",McHenry,1,3,3,3,N/A
40.645178,-88.779754,Lexington High School,"202 E. Greenwich Lexington, IL 61753",McLean,3,3,3,N/A,N/A
40.395719,-89.245855,Olympia High School,"7832 N 100 East Rd Stanford, IL 61774 - 9494",McLean,3,3,3,1,N/A
40.515511,-88.996132,University High School,"500 W Gregory Street Normal, IL 61790",McLean,1,3,3,3,3
39.96175,-89.717361,Athens Junior High School,"1 Warrior Way Athens, IL 62613",Menard,3,1,3,3,N/A
40.013125,-89.86176,Porta Junior High School,"17651 Bluejay Rd Petersburg, IL 62675",Menard,3,3,3,0,N/A
39.840009,-90.373288,Tiopia Junior-Senior High School,"2204 Concord Arenzville Rd Concord, IL 62631",Morgan,1,3,3,1,N/A
41.942062,-89.077264,Rochelle Township High School,"1401 Flagg Road Rochelle, IL 61068",Ogle,1,3,3,3,1
40.85421,-89.675853,Dunlap High School,"5220 West Legion Hall Road.  Dunalp, IL, 61525",Peoria,3,3,3,0,N/A
40.912806,-89.503093,Illinois Valley Central High School,"1300 W. Sycamore Street Chillicothe, IL 61523",Peoria,3,0,3,3,N/A
40.707298,-89.59937,Peoria High School,"1615 N. North Street Peoria, IL 61604",Peoria,3,3,3,3,3
39.921883,-88.569243,Bement High School,"201 S Champaign St Bement, IL 61813",Piatt,3,3,3,3,N/A
40.019175,-88.572368,Monticello High School,"1 Sage Dr Monticello, IL 61856",Piatt,3,3,3,3,N/A
39.950769,-89.54982,Williamsville High School,"900 Walnut Rd Williamsville, IL 62693",Sangamon,3,3,3,3,N/A
40.127888,-90.5646,Rushville-Industry High School,"730 N Congress St Rushville, IL 62681",Schuyler,3,3,3,1,N/A
38.603938,-89.807319,Lebanon High School,"Lebanon, IL 62254 ",St. Clair,3,3,3,N/A,N/A
38.495822,-89.819311,Mascoutah High School Mascoutah CUSD #19,"1313 W Main St Mascoutah, IL ",St. Clair,3,3,3,2,N/A
41.065117,-89.775657,Stark County High School,"300 W. Van Buren Wyoming, IL 61491  ",Stark,1,1,3,1,N/A
40.670677,-89.557874,East Peoria Community High School,1401 E. Washington St East Peoria IL 61611,Tazewell,3,3,3,3,N/A
40.611427,-89.453059,Morton High School ,"350 N Illinois Ave Morton, IL 61550",Tazewell,1,3,3,3,1
40.528381,-89.497021,Tremont High School,"400 W Pearl St Tremont, IL 61568",Tazewell,1,3,3,3,N/A
40.306425,-87.877809,Armstrong High School,"Armstrong, IL 61812 ",Vermilion,1,1,3,1,N/A
40.2637,-87.620058,Bismarck-Henning High School,"17268 E 2750 North Rd Bismarck, IL 61814",Vermilion,1,3,3,3,N/A
40.45854,-87.662573,Hoopeston Area High School,"615 E Orange St Hoopeston, IL 60942",Vermilion,2,3,3,N/A,1
40.051409,-87.638835,Westville High School,"918 N State St Westville, IL 61883",Vermilion,3,1,3,3,N/A
38.408779,-87.75476,Mt. Carmel High School,"201 Pear Street  Mt. Carmel, IL 62863",Wabash,0,0,1,0,N/A
40.912195,-90.654566,Monmouth High School,"105 North E Street Monmouth, IL 61462",Warren,2,3,3,N/A,N/A
38.520145,-89.103544,Centralia High School,"2100 E Calumet St  Centralia, IL 62801",Washington,3,3,3,3,N/A
38.426774,-89.547709,Okawville Jr/Sr High School,"400 S Hanover St Okawville, IL 62271",Washington,0,1,2,0,N/A
38.375201,-88.363456,Fairfield Community High School,"300 W. King Street Fairfield, Illinois 62837",Wayne,3,3,3,N/A,N/A
41.865471,-90.154253,Fullerton High School,"1207 12th Ave. Fulton, IL 61252",Whiteside,0,0,3,0,N/A
41.779451,-89.705264,Rock Falls High School,"101 12th Avenue  Rock Falls, IL ",Whiteside,3,2,2,2,N/A
37.809813,-89.022043,Herrin High School,"700 N. 10th St. Herrin, IL 62948",Williamson,2,2,1,N/A,N/A
37.826498,-88.92482,Johnston City High School,"1500 Jefferson Ave Johnston City, IL 62951",Williamson,3,3,2,2,
42.207183,-89.037854,Jefferson High School,"4145 Samuelson Road Rockford, IL 61109",Winnebago,2,2,1,N/A,N/A
42.256895,-89.049933,Rockford East High School,"2929 Charles Street Rockford, IL 61108",Winnebago,3,1,2,2,N/A
41.258164,-88.207648,Reed- Custer High School,"249 Comet Drive Braidwood, IL ",Wood,3,3,1,N/A,N/A
41.526808,-87.820684,Summit Hill High School,"20100 S. Spruce Drive Frankfort, IL 60423",Wood,0,3,3,0,N/A
40.901956,-89.028326,Fieldcrest High School,"1 Dornbush Drive Minonk, IL 61760",Woodford,3,3,3,0,N/A
40.795119,-89.363665,Metamora Township High School,"101 W Madison St Metamora, IL, 61548",Woodford,3,3,3,N/A,N/A
