School/ Coordinates,School,Address,County,Biology,Chemistry,Physics ,Environmental Science ,Engineering ,Latitude,Longitude,Accuracy
"Brown County High School 
500 East Main
Mount Sterling, IL  62353",Brown County High School,"500 East Main Mount Sterling, IL  62353",Brown,3,3,3,2,N/A,39.98157,-90.75269,9
"University High School 
500 W Gregory Street
Normal, IL 61790",University High School,"500 W Gregory Street Normal, IL 61790",McLean,1,3,3,3,3,40.51551,-88.99613,9
"Dunlap High School 
5220 West Legion Hall Road. 
Dunalp, IL, 61525",Dunlap High School,"5220 West Legion Hall Road.  Dunalp, IL, 61525",Peoria,3,3,3,0,N/A,40.85421,-89.67585,9
"Iroquois West High School 
529 E. Second 
Gilman, IL 60938",Iroquois West High School,"529 E. Second  Gilman, IL 60938",Iroquois,0,3,3,0,N/A,40.76941,-87.98522,9
"North Greene High School 
546 N Main St
White Hall, IL 62092",North Greene High School,"546 N Main St White Hall, IL 62092",Greene,3,3,3,N/A,N/A,39.44326,-90.40090,9
"Northside College Preparatory 
5501 N. Kedzie Ave.
Chicago, IL 60625",Northside College Preparatory ,"5501 N. Kedzie Ave. Chicago, IL 60625",Cook,1,3,3,3,N/A,41.98124,-87.70767,9
"Woodland High School 
 5800 E 3000 North Rd
Streator, IL  61364",Woodland High School,"5800 E 3000 North Rd Streator, IL  61364",La Salle,3,3,3,N/A,N/A,41.06165,-88.81756,8
"Illini West High School 
600 Miller St.
Carthage, IL  62321",Illini West High School,"600 Miller St. Carthage, IL  62321",Handcock,3,0,3,0,N/A,40.42135,-91.13294,9
"Flora High School 
600 S Locust St
Flora, IL 62839",Flora High School,"600 S Locust St Flora, IL 62839",Clay,3,1,3,N/A,N/A,38.66337,-88.48318,8
"Effingham Junior High School
600 S. Henrietta
Effingham, IL 62401",Effingham Junior High School,"600 S. Henrietta Effingham, IL 62401",Effingham,1,1,1,1,N/A,39.11750,-88.55471,9
"A-C Central Junior High School 
 601 W Buchanan St
Ashland, IL 62612",A-C Central Junior High School,"601 W Buchanan St Ashland, IL 62612",Cass,1,3,3,3,N/A,39.89222,-90.01272,9
"Champaign Central High School 
610 W University Ave
Champaign, IL 61820",Champaign Central High School,"610 W University Ave Champaign, IL 61820",Champaign,1,1,3,3,N/A,40.11658,-88.25342,9
"Maroa-Forsyth High School
610 W Washington Street Rd
Maroa, IL 61756",Maroa-Forsyth High School,"610 W Washington Street Rd Maroa, IL 61756",Macon,3,3,3,1,N/A,40.03707,-88.96804,8
"Lindblom Math and Science Academy 
6130 S. Wolcott Avenue 
Chicago, IL 60636",Lindblom Math and Science Academy,"6130 S. Wolcott Avenue  Chicago, IL 60636",Cook,3,3,3,3,2,41.78219,-87.67192,9
"Hoopeston Area High School 
 615 E Orange St
Hoopeston, IL 60942",Hoopeston Area High School,"615 E Orange St Hoopeston, IL 60942",Vermilion,2,3,3,N/A,1,40.45854,-87.66257,9
"Herrin High School
700 N. 10th St.
Herrin, IL 62948",Herrin High School,"700 N. 10th St. Herrin, IL 62948",Williamson,2,2,1,N/A,N/A,37.80981,-89.02204,9
"Paxton-buckley-loda High School
700 W Orleans St
Paxton, IL, 60957",Paxton-buckley-loda High School,"700 W Orleans St Paxton, IL, 60957",Ford,3,3,3,N/A,N/A,40.46079,-88.10738,8
"Bradley-Bourbonnais High School 
700 West North Street
Bradley, IL 60915",Bradley-Bourbonnais High School,"700 West North Street Bradley, IL 60915",Kankakee,3,3,3,0,N/A,41.14956,-87.86882,9
"Rushville-Industry High School 
730 N Congress St
Rushville, IL 62681",Rushville-Industry High School,"730 N Congress St Rushville, IL 62681",Schuyler,3,3,3,1,N/A,40.12789,-90.56460,9
"Central Community High School 
7740 Old U.S. 50
Breese, IL 62230",Central Community High School,"7740 Old U.S. 50 Breese, IL 62230",Clinton,3,1,3,N/A,3,38.61161,-89.55894,8
"Olympia High School 
7832 N 100 East Rd
Stanford, IL 61774 - 9494",Olympia High School,"7832 N 100 East Rd Stanford, IL 61774 - 9494",McLean,3,3,3,1,N/A,40.39572,-89.24586,8
"Hall High School 
800 W. Erie St. 
Spring Valley, IL ",Hall High School,"800 W. Erie St.  Spring Valley, IL ",McHenry,1,3,3,3,N/A,41.32583,-89.21270,8
"Dwight Township High School 
801 S. Franklin St. 
Dwight, IL 60420",Dwight Township High School,"801 S. Franklin St.  Dwight, IL 60420",Grundy,3,0,3,N/A,N/A,41.08623,-88.42576,8
"Knoxville High School 
809 E Main St
Knoxville, IL 61448",Knoxville High School,"809 E Main St Knoxville, IL 61448",Knox,3,3,3,N/A,N/A,40.90739,-90.27601,9
"Benton Consolidated High School
900 N. Cherry St., West Frankfort, IL. 62896",Benton Consolidated High School,"900 N. Cherry St. West Frankfort, IL. 62896",Franklin,1,1,3,N/A,N/A,37.90694,-88.90953,8
"Williamsville High School 
900 Walnut Rd
Williamsville, IL 62693",Williamsville High School,"900 Walnut Rd Williamsville, IL 62693",Sangamon,3,3,3,3,N/A,39.95077,-89.54982,5
"Centennial High School 
913 Crescent Dr
Champaign, IL 61821",Centennial High School,"913 Crescent Dr Champaign, IL 61821",Champaign,3,3,3,3,N/A,40.10590,-88.28235,9
"Champaign Centennial High School
913 S. Crescent Dr.
Champaign, IL 61821",Champaign Centennial High School,"913 S. Crescent Dr. Champaign, IL 61821",Champaign,0,0,3,0,N/A,40.10590,-88.28235,9
"Westville High School 
918 N State St
Westville, IL 61883",Westville High School,"918 N State St Westville, IL 61883",Vermilion,3,1,3,3,N/A,40.05141,-87.63884,8
"Armstrong High School 
Armstrong, IL 61812",Armstrong High School,"Armstrong, IL 61812 ",Vermilion,1,1,3,1,N/A,40.30643,-87.87781,3
"Lebanon High School 
Lebanon, IL 62254",Lebanon High School,"Lebanon, IL 62254 ",St. Clair,3,3,3,N/A,N/A,38.60394,-89.80732,3
"Midwest Central High School 
Manito, IL 61546",Midwest Central High School,"Manito, IL 61546 ",Mason,0,0,3,3,N/A,40.42587,-89.77928,3
"Norris City High School 
Norris City, IL 62869",Norris City High School,"Norris City, IL 62869 ",Hamilton ,N/A,3,3,3,N/A,37.98116,-88.32921,3
