School,Address,Chemistry,Latitude,Longitude
,"2001 North Orchard Street Chicago, IL 60614",,,
,"201 Pear Street  Mt. Carmel, IL 62863",,,
,"201 S Champaign St Bement, IL 61813",,,
,"20100 S. Spruce Drive Frankfort, IL 60423",,,
,"202 E. Greenwich Lexington, IL 61753",,,
,"2100 E Calumet St  Centralia, IL 62801",,,
,"2100 E Calumet St  Centralia, IL 62801",,,
,"2100 E Calumet St  Centralia, IL 62801",,,
,"2100 E Calumet St  Centralia, IL 62801",,,
,"2110 IL-94 Clayton, IL 62324",,,
,"2204 Concord Arenzville Rd Concord, IL 62631",,,
,"222 W Magnolia St Atwood, IL 61913",,,
,"249 Comet Drive Braidwood, IL ",,,
,"2521 Walnut Ave Mattoon, IL 61938",,,
,"2929 Charles Street Rockford, IL 61108",,,
,"300 W. King Street Fairfield, Illinois 62837",,,
,"300 W. Van Buren Wyoming, IL 61491  ",,,
,"301 S. Wabena Avenue Minooka, IL 60447",,,
,"307 East Scott Street Seneca, IL  61360",,,
,"307 East Scott Street Seneca, IL  61360",,,
,"310 S Lightfooft Rd. Farmington, IL 61531",,,
,"350 N Illinois Ave Morton, IL 61550",,,
,"351 West Washington Street Arcola, IL 61910",,,
,"40 Warren Avenue Kankakee, IL 60901 ",,,
,"400 N Sycamore St.  Villa Grove, IL 61956",,,
,"400 S Hanover St Okawville, IL 62271",,,
,"400 W Pearl St Tremont, IL 61568",,,
,"401 W. Latimer St. Abingdon, IL 61410",,,
,"411 N John St Farmer City, IL 61842",,,
,"4141 Illinois 84 Hanover, IL 61041",,,
,"4145 Samuelson Road Rockford, IL 61109",,,
,"416 McKinley Avenue   Geneva, IL 60134",,,
,"420 W Brainard St Payson, IL 62360",,,
,"421 S College Ave Brownstown, IL 62418",,,
,"500 Cragmoor Street Savanna, IL 61074",,,
,"500 East Main Mount Sterling, IL  62353",,,
,"500 W Gregory Street Normal, IL 61790",,,
,"5220 West Legion Hall Road.  Dunalp, IL, 61525",,,
,"529 E. Second  Gilman, IL 60938",,,
,"546 N Main St White Hall, IL 62092",,,
,"5501 N. Kedzie Ave. Chicago, IL 60625",,,
,"5800 E 3000 North Rd Streator, IL  61364",,,
,"600 Miller St. Carthage, IL  62321",,,
,"600 S Locust St Flora, IL 62839",,,
,"600 S. Henrietta Effingham, IL 62401",,,
,"601 W Buchanan St Ashland, IL 62612",,,
,"610 W University Ave Champaign, IL 61820",,,
,"610 W Washington Street Rd Maroa, IL 61756",,,
,"6130 S. Wolcott Avenue  Chicago, IL 60636",,,
,"615 E Orange St Hoopeston, IL 60942",,,
,"700 N. 10th St. Herrin, IL 62948",,,
,"700 W Orleans St Paxton, IL, 60957",,,
,"700 West North Street Bradley, IL 60915",,,
,"730 N Congress St Rushville, IL 62681",,,
,"7740 Old U.S. 50 Breese, IL 62230",,,
,"7832 N 100 East Rd Stanford, IL 61774 - 9494",,,
,"800 W. Erie St.  Spring Valley, IL ",,,
,"801 S. Franklin St.  Dwight, IL 60420",,,
,"809 E Main St Knoxville, IL 61448",,,
,"900 N. Cherry St. West Frankfort, IL. 62896",,,
,"900 Walnut Rd Williamsville, IL 62693",,,
,"913 Crescent Dr Champaign, IL 61821",,,
,"913 S. Crescent Dr. Champaign, IL 61821",,,
,"918 N State St Westville, IL 61883",,,
,"Armstrong, IL 61812 ",,,
,"Lebanon, IL 62254 ",,,
,"Manito, IL 61546 ",,,
,"Norris City, IL 62869 ",,,
